MdALE errors individual fit optim,MdALE errors Eleveld
0.025294538587331772,0.6613476872444153
0.12192252278327942,0.3328634798526764
0.06852524727582932,0.8584666848182678
0.008636347949504852,0.4004797637462616
0.016809649765491486,0.5653020143508911
0.006814939435571432,0.7708683609962463
0.03815501928329468,0.33785316348075867
0.0878412276506424,0.32662928104400635
0.04017632082104683,0.40166130661964417
0.01857762597501278,0.3702041804790497
0.1606605499982834,0.5800148844718933
0.10752469301223755,0.3220590353012085
0.049714766442775726,0.4437369108200073
0.025113163515925407,0.4807812571525574
0.06173699349164963,0.2414208948612213
0.0833297148346901,0.1444050371646881
0.034949157387018204,0.14228542149066925
0.042076241225004196,0.5132654905319214
0.047863829880952835,0.5321283936500549
0.040802158415317535,0.32053136825561523
0.04668824002146721,0.5037916898727417
0.05680697783827782,0.5405644774436951
0.07077445089817047,0.4005693793296814
0.0803154930472374,0.6773616075515747
0.07342707365751266,0.37051647901535034
0.09346579015254974,0.22059893608093262
0.03477071598172188,0.36987584829330444
0.07807233929634094,0.3530179262161255
0.11946666240692139,0.2780267596244812
0.0344737246632576,0.461475670337677
0.0,0.388816237449646
0.0,0.14893418550491333
0.0,0.45188799500465393
0.0,0.5732517838478088
0.0,0.8753499388694763
0.0,0.4760880172252655
0.0,0.3901621997356415
2.8402419047779404e-5,0.6627676486968994
0.0,0.5739548802375793
0.0,0.3799891471862793
0.0,0.29609760642051697
0.0,0.5316550135612488
0.0,0.14876891672611237
0.0,0.5915029048919678
0.0,0.5300748348236084
0.0,0.10126654803752899
0.0,0.9316063523292542
0.054862961173057556,0.14876089990139008
2.3841860752327193e-7,0.49799832701683044
0.10085736960172653,0.22650285065174103
0.0,0.5957483053207397
0.0,0.05671184882521629
0.0,0.7100439667701721
0.0,0.46483173966407776
0.0,0.37344565987586975
0.0,0.10713932663202286
0.0,0.20438580214977264
0.0,0.6023145318031311
0.0,0.6504029631614685
0.0,0.3180449604988098
0.0,0.753808856010437
0.0,0.45796117186546326
0.0,0.31011316180229187
3.5762659535976127e-6,0.23694869875907898
0.0,0.599355161190033
0.0,0.375126451253891
0.0,0.322775274515152
0.0,0.4611814320087433
0.0,1.0378038883209229
0.0,0.2736360728740692
0.0,0.3277202546596527
0.1559683233499527,0.5447678565979004
5.364420871956099e-7,0.44004109501838684
0.0,0.2991962730884552
0.0,0.5641622543334961
0.014748825691640377,0.6006094217300415
0.0,0.28604570031166077
0.0,0.25613996386528015
0.0,0.5158422589302063
0.0,0.15928645431995392
0.0,0.7495551109313965
0.018424341455101967,0.24441850185394287
0.0060757421888411045,0.29165276885032654
0.04469817131757736,0.3799324035644531
0.05124107748270035,0.2709760069847107
0.07287933677434921,0.0791233628988266
0.02989819087088108,0.057345569133758545
0.1143750250339508,0.12680883705615997
0.041726771742105484,0.24965977668762207
0.06741645932197571,0.43835073709487915
0.06358714401721954,0.5697168111801147
0.033554188907146454,0.20338191092014313
0.023994702845811844,0.1990976482629776
0.056323520839214325,0.0852295532822609
0.09605127573013306,0.38691645860671997
0.09977986663579941,0.17924195528030396
0.14138475060462952,0.2682037949562073
0.11802799254655838,0.6524192094802856
0.047789156436920166,0.46047449111938477
0.07732535898685455,0.3368698060512543
0.14293725788593292,0.3018462061882019
0.184072345495224,0.13575264811515808
0.03238651528954506,0.11399869620800018
