Observed concentration,Predicted concentration symbolic regression ALE,Predicted concentration Eleveld
0.11,0.12085436,0.120747484
0.101,0.10355335,0.09364026
0.149,0.103049666,0.09289724
0.086,0.090625964,0.07532198
0.052,0.078237295,0.05925884
0.07,0.07542816,0.05582662
0.039,0.058536958,0.036913645
0.04,0.043690577,0.02290306
0.024,0.021285083,0.007084303
0.014,0.004870462,0.00063854654
4.84,5.631519,4.452135
5.26,7.225486,5.9030347
6.1,8.347576,7.0121326
6.91,9.151565,7.868339
8.13,9.740727,8.537247
9.95,10.529308,9.494073
7.61,11.037551,10.136673
8.4,11.412018,10.6034775
6.26,8.932138,8.960908
0.636,6.676755,7.1325555
0.699,5.1458135,5.7735133
0.39,4.1016974,4.7608504
0.492,3.3848615,4.003891
0.328,2.1100073,2.432186
0.415,1.6081312,1.7245424
0.512,1.244626,1.3423085
0.296,0.7848437,0.9167269
0.157,0.4233794,0.54721093
0.162,0.25909927,0.35460532
0.141,0.14317116,0.19106083
0.273,0.11573382,0.1418909
0.13,0.09527951,0.10365766
0.142,0.092881545,0.09965453
0.133,0.08356301,0.08493207
0.113,0.0822752,0.082981184
0.069,0.06348845,0.056403454
0.044,0.04865606,0.037964866
0.035,0.036436006,0.024689408
0.024,0.017990848,0.008640623
0.01,0.004867563,0.001235627
1.57,4.472929,4.1764855
4.64,5.480596,5.396945
3.7,6.115066,6.272252
3.6,6.5362105,6.910147
3.82,6.834942,7.384544
6.84,7.249711,8.029783
3.12,7.559124,8.451102
4.18,7.828007,8.763054
5.13,8.314903,9.246559
2.23,8.782975,9.672673
1.12,6.1502867,7.382835
1.32,4.56331,5.7328086
0.322,3.097615,3.794135
0.185,2.216184,2.1213193
0.483,1.8217064,1.6379143
0.368,1.270612,1.1772856
0.358,0.764021,0.7467478
0.70600003,0.48446694,0.50081223
0.24,0.24255866,0.2758882
0.213,0.16440938,0.19499627
0.23,0.1222405,0.1415671
0.163,0.12196889,0.1411592
0.127,0.10707575,0.11783045
0.094,0.10685753,0.11748423
0.081,0.0948355,0.09876355
0.065,0.08439551,0.08329991
0.037,0.0670468,0.05952554
0.034,0.05256519,0.04172379
0.013,0.029313456,0.017783508
0.018,0.0099506,0.0036714678
0.269,3.8525538,2.762515
6.09,6.6668925,4.847037
6.81,8.731295,6.4296026
9.12,10.253759,7.6403303
9.21,11.384369,8.575407
9.01,12.509157,9.553151
8.27,10.274276,8.161355
2.23,8.105003,6.6489286
1.6,6.0749607,5.201395
1.02,3.5375578,3.324968
0.912,2.7622125,2.7275531
0.857,2.1973045,2.2805307
0.831,1.4812357,1.6913784
0.717,0.85546416,1.1337236
0.522,0.65960014,0.9370985
0.368,0.5262027,0.78810173
0.268,0.4037362,0.6392585
0.172,0.25350028,0.43712965
0.184,0.15817499,0.28764054
0.14,0.09617403,0.16927896
0.056,0.06579748,0.094071105
0.054,0.057161152,0.06946927
0.042,0.04863107,0.05158687
0.054,0.042874683,0.042669278
0.075,0.04260323,0.04227261
0.051,0.03608555,0.033169188
0.042,0.023310065,0.01755461
1.61,3.2322917,2.7282784
5.61,5.1947207,4.668346
6.51,6.4104395,6.059565
7.54,7.1865945,7.0683975
7.94,7.703524,7.810606
8.0,8.067121,8.366705
8.04,8.557408,9.127526
8.04,8.906266,9.623879
8.26,9.199715,9.987947
3.8,6.4883823,7.8143353
1.39,4.648184,5.9948854
1.03,3.5521855,4.7199993
1.000001,2.8933892,3.8239682
1.35,2.4915626,3.1915596
1.01,1.8922156,2.0192728
0.686,1.6390932,1.5681821
0.573,1.3606689,1.2935851
0.335,0.9499178,0.930361
0.249,0.5728294,0.588032
0.197,0.3650217,0.39203343
0.174,0.18525097,0.21205802
0.192,0.12684985,0.14681518
0.203,0.095337175,0.10474536
0.112,0.09530842,0.10470179
0.111,0.08120576,0.08280562
0.063,0.07216672,0.06923483
0.028,0.062490407,0.055634804
0.044,0.049004197,0.038457435
0.029,0.03699445,0.025091797
0.02,0.019333238,0.009364122
0.014,0.006174106,0.0016539382
0.405,2.9644258,2.662456
6.12,4.6572933,4.4613643
7.61,5.6484714,5.689832
7.57,6.252013,6.541261
7.6,6.6410017,7.1432652
10.2,6.9108334,7.5800543
8.81,7.2797794,8.161383
9.11,7.555229,8.53946
8.38,7.797007,8.825096
8.03,8.240342,9.28535
9.0,8.651868,9.686337
9.15,9.037155,10.056789
9.53,8.842494,9.916625
5.33,6.1314015,7.4434695
4.02,4.617006,5.7974157
3.73,3.7624276,4.6973214
3.62,3.2718027,3.9576883
2.28,2.3182821,2.2439377
1.56,1.6873045,1.6332616
0.816,1.0731936,1.0582161
0.545,0.70876515,0.71632046
0.332,0.36156154,0.38759506
0.41,0.14132792,0.15425563
0.294,0.12716283,0.13292964
0.196,0.12708832,0.13281752
1.73,4.486439,3.7114763
5.76,6.1840363,5.3490124
7.58,7.4950247,6.785185
7.68,8.2777405,7.7652345
8.28,8.838074,8.558674
8.01,9.083102,8.936702
10.5,9.480375,9.5772505
11.2,9.76957,10.023159
11.2,9.988354,10.327193
10.1,6.5471945,7.750915
5.79,4.761247,6.0867157
3.69,3.4207928,4.6605644
2.28,1.8250257,2.4077036
1.44,1.5535954,1.8065454
0.82,1.3818752,1.5199174
0.282,1.1052629,1.1270528
0.324,0.80076647,0.7388513
0.15,0.5911552,0.5039725
0.195,0.346235,0.27271363
0.147,0.13798755,0.12289405
0.191,0.13758646,0.12261965
0.13,0.10378127,0.09550861
0.128,0.10369016,0.09541829
0.051,0.04784833,0.033074364
0.025,0.024831982,0.012937297
0.019,0.008151111,0.0026271758
0.862,2.6482356,2.2579305
5.16,4.24185,3.888546
6.28,5.2263074,5.0759835
5.73,5.858353,5.950142
5.37,6.2859764,6.6026626
6.79,6.5944905,7.098199
6.88,7.030145,7.7873588
7.22,7.3582497,8.244001
7.88,7.6432095,8.580924
7.94,8.156332,9.092593
10.2,8.623327,9.512735
8.1,9.094147,9.9261465
8.13,9.635634,10.403146
9.4,9.98672,10.715786
1.18,7.421957,8.532674
1.6,5.91017,6.975596
1.2,5.00593,5.8604407
3.32,3.8690832,4.0477943
1.54,2.4489892,2.2362726
0.737,1.3905375,1.3780493
0.267,0.3865134,0.46365857
0.862,0.36402267,0.4393991
0.188,0.20513192,0.23523535
0.2,0.18027624,0.1927081
0.202,0.18013279,0.19246744
0.153,0.15846655,0.15739654
0.212,0.15815902,0.15691772
0.159,0.1435338,0.13477276
0.116,0.114063226,0.094010286
0.07,0.088302076,0.06294234
0.035,0.045403052,0.022192331
0.027,0.016244326,0.004432347
2.29,3.0649657,2.5602512
2.53,4.32388,3.8142443
3.8,5.3740377,5.0150948
4.49,6.063236,5.9150496
4.98,6.536395,6.5977407
4.89,6.879722,7.123381
15.7,7.3612876,7.8647943
14.4,7.7162113,8.359965
17.7,8.047064,8.755102
9.22,8.554508,9.264596
4.58,9.03786,9.698032
1.76,9.480431,10.081799
0.829,10.077278,10.5987425
1.000001,9.333611,10.066855
0.571,6.664936,7.624933
0.355,4.9521866,5.558338
0.294,2.7002666,2.4169054
0.314,0.28521565,0.34685495
0.284,0.28388256,0.3451517
0.458,0.22102946,0.25261858
0.252,0.19365793,0.20646973
0.187,0.16712947,0.1644867
0.183,0.14994462,0.13914652
0.105,0.11973415,0.09836271
0.065,0.09427561,0.06804211
0.042,0.0516026,0.02687099
0.041,0.017370677,0.005015386
4.86,3.204562,2.4463272
6.09,5.023496,3.965876
5.93,6.9198747,5.7038627
6.64,7.9882307,6.78352
6.74,8.75375,7.619673
14.3,9.315869,8.274874
15.5,10.073411,9.215624
9.4,10.939892,10.311519
1.28,11.521329,10.978015
0.889,12.007257,11.489478
7.92,10.495331,10.455563
0.618,8.871362,9.185543
2.04,6.884438,7.506096
2.2,5.321206,6.0381646
0.835,4.61079,5.3049507
0.382,3.1495373,3.569026
0.276,2.1035097,2.1807976
0.177,1.3033673,1.4518013
0.246,0.6858918,0.85685056
0.205,0.40750748,0.5476565
0.249,0.21880344,0.29378995
0.23,0.17355394,0.21503842
0.227,0.1444149,0.15997808
0.169,0.12425949,0.12716195
0.183,0.12139268,0.122782804
3.23,4.3489256,4.0586944
4.6,5.335599,5.265618
5.26,5.960547,6.140296
5.92,6.37829,6.7839203
5.86,6.6768413,7.2666726
7.19,7.095362,7.9293795
7.49,7.410163,8.36495
6.15,7.684454,8.687283
6.49,8.180838,9.18355
7.68,8.656726,9.617376
8.41,9.0547,9.973261
7.29,9.272111,10.167727
8.51,8.194916,9.289717
3.62,5.0410433,6.1538105
2.08,4.232712,5.1036663
1.08,2.735664,2.517189
0.802,1.8713316,1.7432576
0.311,1.0973604,1.0941744
0.304,0.6783369,0.7230969
0.222,0.32979196,0.38807833
0.261,0.22323576,0.26996377
0.171,0.16729759,0.19247733
0.177,0.1464843,0.15797128
0.158,0.14642562,0.15787466
0.19,0.13011,0.13174649
0.156,0.12915514,0.13026781
0.135,0.11641031,0.11110005
0.023,0.014110359,0.004387617
1.57,3.7071905,2.787051
3.39,6.2488184,4.8585787
4.1,8.00602,6.4085026
4.65,9.234956,7.577972
5.32,10.107802,8.469734
5.94,10.7402935,9.158584
6.96,11.56992,10.130551
7.31,12.08776,10.774905
7.58,12.458487,11.240725
7.38,13.016604,11.916409
8.88,13.037635,12.12501
3.94,9.574999,9.53979
1.87,7.229939,7.644364
1.56,5.6363564,6.2512608
1.16,4.548211,5.2240324
0.99,3.8001463,4.4633665
0.598,2.3218777,2.7143602
0.447,1.711245,1.9354614
0.202,1.1194185,1.3237276
0.137,0.6300126,0.7926636
0.073,0.39072093,0.509341
0.137,0.21072485,0.269193
0.106,0.1622391,0.19292304
0.115,0.16123472,0.19122936
0.103,0.13032737,0.1387087
0.1,0.13002694,0.13822377
0.13,0.112366214,0.11121496
0.101,0.0970923,0.08977657
0.1,0.08507439,0.07400223
0.1,0.063850865,0.04864521
0.027,0.047831345,0.031888697
0.021,0.024071427,0.011686333
0.015,0.0071108355,0.0019655135
0.97,5.2398915,4.6948295
3.42,6.737303,6.3884416
4.2,7.442403,7.312495
3.95,7.884143,7.9568086
5.24,8.178544,8.418508
5.68,8.555279,9.0247
7.79,8.816728,9.41517
3.93,9.038757,9.710217
5.01,9.442917,10.188837
8.06,9.821744,10.608752
6.76,8.487686,9.57093
2.04,5.3100634,6.6796613
2.14,4.378941,5.6989098
1.87,3.3881536,4.5239563
1.71,2.8242245,3.7470684
1.58,2.1081846,2.4736166
1.21,1.801867,1.9102569
0.896,1.4077994,1.4094567
0.415,0.98696196,0.92023546
0.32,0.7076796,0.62643105
0.172,0.3975787,0.34010997
0.226,0.25743672,0.22958818
0.186,0.15754616,0.15624127
0.208,0.15560322,0.15467107
0.157,0.12645258,0.1272479
0.171,0.12457456,0.12513573
0.099,0.10808748,0.1049423
0.093,0.09631405,0.08976109
0.069,0.06971515,0.057252694
0.05,0.059688974,0.046095643
0.041,0.031183982,0.018620932
0.025,0.010164046,0.003892855
0.352,5.7693906,5.145783
4.72,6.989647,6.525968
5.25,7.718942,7.467377
8.57,8.243274,8.229325
8.71,8.474248,8.592349
7.69,8.85378,9.207761
9.0,9.1127405,9.603731
9.63,9.330764,9.902857
9.62,9.726569,10.388244
11.0,9.047432,9.974827
4.76,5.9191985,7.2680693
2.95,4.1623235,5.4973183
2.9,3.031958,4.155103
2.15,2.2831569,3.0577257
0.982,1.8119713,2.1141455
0.27,1.5905207,1.7251127
0.838,1.2595309,1.2759867
0.174,0.89983004,0.8347465
0.099,0.65604854,0.5690744
0.118,0.37734574,0.30923548
0.2,0.24533719,0.20779048
0.178,0.14913018,0.14164189
0.131,0.14880729,0.14140537
0.114,0.11630891,0.11351247
0.155,0.11336966,0.11037836
0.099,0.10135292,0.09642138
0.034,0.06940904,0.057357963
0.037,0.054397848,0.040770445
0.026,0.029511793,0.017305221
0.017,0.010869487,0.004268767
0.128,3.079814,2.5292501
2.59,5.0186973,4.3706713
3.08,6.261389,5.721478
4.1,7.0787945,6.722139
5.73,7.63594,7.472709
5.87,8.033366,8.044459
7.17,8.570179,8.8399935
6.66,8.944695,9.363732
4.6,9.251994,9.7451935
5.37,8.526343,9.286767
2.74,5.258892,6.4350104
2.65,3.9658036,5.074796
2.24,3.16283,4.0969553
1.88,2.6587005,3.3916187
1.06,2.336911,2.8805363
1.09,1.8090502,1.8782883
0.281,1.5522947,1.4480598
0.211,1.2646384,1.1713792
0.211,0.50211114,0.5105088
0.052,0.044556845,0.037063297
0.016,0.037525777,0.028883645
4.97,7.1425934,5.3999214
4.51,9.043036,7.04876
7.54,10.326582,8.26056
8.85,11.20745,9.162217
7.18,11.82522,9.843559
9.6,12.603589,10.781087
9.4,13.071496,11.390002
10.5,13.40306,11.829226
7.29,11.581129,10.598498
2.59,3.8260767,4.459824
1.57,3.1301923,3.7837942
1.75,1.8615382,2.372415
0.893,1.3956257,1.7129811
0.554,1.194696,1.3945379
0.269,1.008508,1.1454021
0.15,0.17328134,0.17388102
0.16,0.12086767,0.12140047
0.211,0.11740811,0.11792625
3.52,5.505396,4.304977
6.14,7.0949388,5.728889
6.35,8.22702,6.8272233
7.74,9.046741,7.682362
7.45,9.652785,8.35566
7.74,10.4709,9.327869
7.32,10.999927,9.986658
6.9,11.387556,10.4668455
7.84,11.976838,11.15804
8.14,12.457026,11.684812
7.98,11.377882,11.013243
5.26,9.634675,9.692285
3.82,7.1281776,7.6423087
3.36,5.9784536,6.6159225
3.02,4.772658,5.449325
2.35,3.319825,3.8399565
1.41,2.0811236,2.2736082
0.575,1.2598097,1.5000867
0.2,0.650046,0.87949103
0.21,0.36535588,0.53127235
0.191,0.21405233,0.29640114
0.207,0.1790018,0.22595903
0.268,0.17798102,0.22375277
0.224,0.14701429,0.16054794
0.276,0.14697923,0.16048594
0.276,0.12687488,0.12758419
0.073,0.073253684,0.05530197
0.075,0.055972353,0.03672861
0.043,0.007050713,0.0015722172
0.218,3.836486,3.0651834
5.96,6.173939,5.20805
7.33,7.6184106,6.7191525
7.94,8.530617,7.7972765
1.06,9.125259,8.578432
9.42,9.530132,9.155676
10.4,10.044079,9.933038
11.1,10.38135,10.4336605
11.9,10.65151,10.800136
7.22,8.219273,9.078572
3.89,5.2433705,6.459839
2.75,3.6321268,4.7849355
2.36,2.9899914,4.016507
2.04,2.4753296,3.3234217
1.72,2.158834,2.8394928
1.33,1.7466433,2.0812378
1.15,1.5210923,1.6285658
1.47,1.3123319,1.3505827
0.448,0.98581314,0.9720154
0.292,0.6600123,0.6186592
0.237,0.45521098,0.41299152
0.157,0.23998138,0.2170711
0.311,0.16162959,0.15265518
0.183,0.105207734,0.104816936
0.14,0.08780314,0.08506293
0.117,0.075604394,0.06933009
0.079,0.06827797,0.059982747
0.047,0.048963618,0.03724317
0.038,0.038807057,0.026679816
0.026,0.020556584,0.01072068
0.018,0.0061778757,0.0019101636
0.215,3.4178839,2.5962152
4.09,5.442174,4.646321
4.72,6.673604,6.272997
5.65,7.4533553,7.57117
5.41,7.97521,8.614294
6.28,8.349241,9.459216
7.38,8.87698,10.720495
8.37,9.277837,11.600687
6.02,9.629917,12.247107
9.68,10.303378,13.194308
9.53,7.8988667,11.542978
3.89,5.7231116,9.518853
3.15,4.4662743,7.9394608
2.93,3.7316754,6.7044377
2.05,3.2940347,5.736138
1.86,2.8531332,4.373007
1.07,2.4303942,2.5911298
0.491,2.0457003,1.7786032
0.282,1.4675812,1.131604
0.17,0.9180364,0.6319747
0.087,0.29935768,0.2123848
0.011,0.19486177,0.15977462
0.11,0.19465454,0.15966716
0.092,0.13283546,0.11891131
0.089,0.13197732,0.118076615
0.095,0.1102021,0.093348294
0.056,0.0920683,0.07107966
0.043,0.08133018,0.058661096
0.03,0.05857259,0.03523773
0.035,0.043636385,0.022307778
0.012,0.0052136267,0.00082306075
3.33,6.0314665,4.7128263
6.94,7.7439313,6.232105
7.18,8.949384,7.3857613
7.1,9.811386,8.270737
7.25,10.440387,8.958069
10.1,11.273535,9.934154
10.3,11.799693,10.584999
9.91,12.179123,11.056282
10.6,11.688232,10.855581
8.63,9.05239,8.892005
5.26,6.7202225,7.0248423
3.86,5.1314526,5.646752
2.88,4.0449,4.6271954
2.42,2.7800417,3.3066788
1.33,1.8366181,2.1373167
1.000001,1.4367311,1.5936362
0.645,1.1257501,1.2622179
0.301,0.7237832,0.8668783
0.165,0.38622543,0.50386035
0.088,0.2482292,0.33680218
0.12,0.109232865,0.1314286
0.092,0.0913063,0.09907133
0.098,0.090741545,0.098133095
0.096,0.07895589,0.07971352
0.122,0.07607289,0.07547159
0.097,0.0663784,0.06181026
0.068,0.059578992,0.05277182
0.045,0.04483747,0.034820765
0.043,0.039126035,0.028529122
0.046,0.034062013,0.023294121
0.011,0.0159487,0.0076780887
0.007,0.004035258,0.0010287107
0.232,3.0993948,2.5543544
5.42,5.0467205,4.420825
6.84,6.293094,5.7949443
7.79,7.112486,6.8164625
6.8,7.6712923,7.585266
7.92,8.070587,8.172753
9.52,8.612164,8.993379
10.5,8.992426,9.53577
10.8,9.305815,9.931583
11.5,9.8506775,10.520322
11.5,10.339447,10.993577
10.6,10.7877655,11.414256
9.41,8.5108595,9.601358
6.56,6.4763265,7.7086883
4.97,5.2140017,6.3407073
4.0,4.191552,5.0309415
3.58,3.9140577,4.623777
1.87,2.6954882,2.5832589
0.956,1.8003888,1.7585328
0.393,1.004462,1.0564399
0.362,0.6234648,0.69739264
0.273,0.30635187,0.3689237
0.251,0.2132959,0.25568306
0.146,0.16393925,0.18155293
0.172,0.14147335,0.14492966
0.159,0.14061117,0.1435733
0.114,0.12411934,0.11853331
0.101,0.10727202,0.094766736
0.014,0.008691039,0.0020088477
0.009,3.3399694,2.7382383
3.3,5.4213023,4.700071
6.58,6.739648,6.1168485
7.9,7.5950603,7.1507716
8.89,8.169195,7.915559
8.78,8.572033,8.490951
9.77,9.103942,9.280493
8.97,9.466491,9.794741
10.1,9.760946,10.16919
9.4,8.026511,8.842371
5.17,5.5234313,6.6707764
3.68,3.9961345,5.139899
2.4,3.0597477,4.058353
2.2,2.4812896,3.2919667
1.4,1.7394427,2.075333
1.21,1.468825,1.5202527
0.749,1.2964305,1.2532933
0.518,1.0831615,1.0371155
0.229,0.7651294,0.73821104
0.153,0.46947142,0.46187276
0.146,0.30395007,0.30746397
0.121,0.15627705,0.16861907
0.126,0.10846451,0.12148524
0.121,0.1061864,0.11910677
0.138,0.077769324,0.085348204
0.088,0.068436645,0.07180228
0.044,0.052221578,0.048944697
0.039,0.040550288,0.034152664
0.024,0.030876305,0.023175366
0.015,0.01587838,0.008997791
0.007,0.0043388247,0.001420896
5.54,5.9335947,5.1046166
6.17,7.306025,6.578867
7.8,8.168496,7.627953
8.68,8.729397,8.386351
9.68,9.111651,8.945777
8.68,9.600547,9.698083
8.76,9.92668,10.182683
8.23,10.1916065,10.538247
13.9,10.656744,11.086469
17.1,11.083993,11.54748
15.4,9.941133,10.739023
10.6,6.9162536,8.175985
7.7,5.116616,6.4137154
6.38,4.0398874,5.1977954
5.1,3.3897834,4.354718
3.9,2.5806415,3.0554552
2.99,2.072961,2.1360593
1.54,1.554512,1.5329092
1.04,1.0307555,0.96976924
0.637,0.7054337,0.6444845
0.507,0.37328303,0.34121874
0.342,0.24294016,0.23309276
0.157,0.15870206,0.1615254
0.201,0.131405,0.13067557
0.14,0.13051403,0.12953955
0.209,0.1144435,0.10844081
0.185,0.114264205,0.10820359
0.169,0.099849746,0.08943116
0.079,0.076979816,0.061713345
0.041,0.053027645,0.036248706
0.041,0.029119499,0.015405036
0.01,0.008666973,0.002730831
3.8,6.1586666,4.724115
7.2,7.9517345,6.2597227
7.87,9.231064,7.431607
8.18,10.155929,8.334746
10.3,10.835896,9.03912
10.6,11.739145,10.044274
10.2,12.303483,10.717316
10.2,12.700806,11.205109
8.38,13.278319,11.908208
10.4,11.956198,11.072144
5.57,10.0075445,9.626532
4.08,7.5769215,7.7246737
2.91,5.8881516,6.3111196
2.31,4.7100234,5.2575307
1.75,3.299262,3.876971
0.815,1.9598836,2.3312821
0.59,1.442057,1.7266953
0.242,0.89615005,1.165756
0.231,0.48799887,0.69752103
0.17,0.2997227,0.44535422
0.135,0.17357358,0.23894931
0.128,0.14075921,0.17143938
0.106,0.11713358,0.12450249
0.07,0.11491422,0.12076382
0.085,0.10057026,0.098421276
0.115,0.09994947,0.09750655
0.079,0.057287496,0.042343136
0.042,0.04255481,0.027129045
0.022,0.018956857,0.008082147
0.015,0.005636283,0.0013142107
0.66,3.7854664,3.0877154
6.34,6.030433,5.2071223
6.63,7.382731,6.675604
7.52,8.21746,7.706278
8.58,8.75181,8.44225
8.96,9.111544,8.979624
10.1,9.567818,9.695528
9.98,9.873076,10.155479
10.1,10.123588,10.495561
11.2,10.568516,11.02852
11.0,10.980682,11.483587
12.4,10.175529,10.897786
9.9,7.3931084,8.608848
6.76,5.2445745,6.5925865
5.74,3.9874942,5.225484
4.52,3.246752,4.2944875
2.53,2.1848767,2.5286655
1.15,1.8535273,1.942565
0.64,1.4223171,1.4124074
0.318,0.9729071,0.9048847
0.296,0.66517806,0.58894217
0.278,0.36926275,0.31979898
0.349,4.7307067,3.1208227
0.726,8.205059,5.4677296
8.28,10.763135,7.2432046
9.88,12.652817,8.596525
11.0,14.054785,9.637745
13.1,15.100743,10.448005
16.1,16.482634,11.599272
16.5,13.832888,10.08742
6.96,10.302809,7.8269434
2.67,5.5307293,4.7034793
2.16,4.464342,3.9873302
1.85,3.4560251,3.2992356
1.68,2.7167652,2.784649
1.09,1.2589109,1.7135466
0.81,0.80721486,1.3271013
0.729,0.5982373,1.0884849
0.432,0.46987158,0.876111
0.156,0.3201457,0.593083
0.228,0.18357679,0.31714353
0.171,0.14090185,0.22482827
0.122,0.09438438,0.1185046
0.088,0.094027914,0.11767615
0.136,0.08095396,0.08840215
0.142,0.0808889,0.08826729
0.095,0.06747542,0.06482115
0.05,0.057244793,0.050949212
0.041,0.041386005,0.03203334
0.013,0.026507216,0.016948503
0.023,0.022111513,0.013080212
0.006,0.0022050776,0.00048534144
3.72,6.694466,4.7437987
5.87,8.830171,6.3509545
8.31,10.433352,7.6082406
7.7,11.643519,8.599764
8.47,12.563424,9.389221
9.23,13.815259,10.54321
8.2,14.585335,11.332114
8.48,15.088965,11.906311
7.66,12.438645,10.44336
4.36,9.551596,8.449095
2.84,7.4143496,6.9275575
2.08,5.829569,5.764185
2.38,4.651938,4.8722377
1.72,3.7744455,4.186041
1.38,2.2531142,2.9221244
0.728,1.2607391,1.9719605
0.348,0.8485272,1.4737743
0.186,0.5029049,0.9705599
0.131,0.27614558,0.5605627
0.14,0.18770936,0.35337257
0.086,0.13526195,0.19165865
0.186,0.1330758,0.18395802
0.07,0.120064646,0.14139561
0.08,0.11970527,0.14039528
0.066,0.1021877,0.10414443
0.048,0.08631564,0.080330975
0.043,0.07477919,0.064691134
0.031,0.035678286,0.021204224
0.015,0.01676751,0.0067939907
0.014,0.004095646,0.0008117764
0.51,3.98739,2.9756463
3.67,5.7078223,4.533751
4.86,7.1953177,6.1119566
5.46,8.201427,7.367102
5.93,8.902998,8.372401
5.27,9.411396,9.184291
8.35,10.103287,10.39193
8.38,10.580921,11.231771
8.72,10.965105,11.8476515
9.96,9.547015,11.184016
4.08,6.9163756,9.121152
2.66,5.241059,7.5200014
2.12,4.0038447,6.061118
1.56,3.2685878,4.978685
1.68,2.9477408,4.415301
1.11,2.2483213,2.8158987
0.766,1.8916743,1.8996854
0.44,1.5297055,1.3905915
0.35,1.0209965,0.8976408
0.254,0.5691658,0.49349603
0.125,0.36020368,0.3174551
0.146,0.18520711,0.17728029
0.094,0.13386068,0.13478625
0.055,0.10377779,0.1015247
0.134,0.10335687,0.1009583
0.094,0.08509004,0.07588553
0.08,0.08480859,0.07550768
0.055,0.07437319,0.06192221
0.047,0.06485979,0.050339334
0.004,0.044238288,0.028211167
0.004,0.032639097,0.017805927
0.003,0.012149056,0.0039905338
0.023,0.003884337,0.0007105082
0.1,3.8895102,2.7861555
5.98,6.72708,4.8864336
7.42,8.805758,6.4794197
7.1,10.336725,7.6969886
7.05,11.472167,8.636528
6.61,12.321766,9.369959
9.86,13.457576,10.417102
11.4,14.147034,11.117636
11.8,14.599609,11.624011
12.8,15.223292,12.410626
12.2,12.582049,10.583668
6.13,9.031776,8.055679
4.32,7.322652,6.805308
3.26,5.7187037,5.603286
3.14,4.5515137,4.7041044
2.13,2.537021,3.0659058
1.69,1.4611828,2.0733633
1.24,1.0279636,1.5844423
0.765,0.63677543,1.0739013
0.442,0.34764332,0.62834644
0.313,0.2279434,0.40230066
0.271,0.15064718,0.21800008
0.214,0.12931934,0.15801936
0.147,0.10962511,0.1160077
0.119,0.0943754,0.09252052
0.103,0.09391483,0.09185689
0.149,0.08129782,0.07436519
0.154,0.08100022,0.07396779
0.104,0.0705494,0.0604544
0.017,0.0051187673,0.0013120382
1.96,3.0792282,2.658345
5.75,4.9119587,4.5228786
7.47,6.026746,5.8424287
8.51,6.7275763,6.787612
9.02,7.189289,7.475423
8.65,7.512453,7.9860907
9.56,7.949988,8.67879
10.6,8.2664385,9.129356
11.1,8.536863,9.461885
10.6,9.02327,9.975957
10.7,9.469983,10.408169
11.5,6.904778,8.230462
5.97,5.0140314,6.35283
4.89,3.9084165,5.053445
5.15,3.2546628,4.150748
4.2,2.8611045,3.5202541
3.46,2.2149894,2.2429628
1.92,1.8424408,1.7418267
1.16,1.3071526,1.2510741
0.431,0.80265456,0.79018086
0.318,0.521105,0.5303709
0.32,0.26403025,0.28789172
0.258,0.17559199,0.19934906
0.218,0.12589955,0.14090161
0.196,0.1257822,0.14073803
0.224,0.10820842,0.11467475
0.301,0.10783592,0.114105694
0.297,0.09581351,0.09598866
0.184,0.08478801,0.080148265
0.061,0.04914843,0.03582041
0.017,0.028088046,0.015676685
0.024,0.00711371,0.002062415
0.997,3.7419453,2.6298602
6.32,6.4788847,4.6711226
6.86,8.490635,6.2639675
7.3,9.978815,7.5149918
8.44,11.275076,8.67773
8.25,11.925,9.296414
10.4,13.05756,10.457743
10.2,13.761042,11.2549305
10.1,14.235426,11.836193
10.0,11.799213,10.248
5.18,8.926182,8.241086
3.76,6.844426,6.705428
3.0,5.333074,5.5282836
2.47,4.2329993,4.62393
1.81,2.4052339,2.9702172
1.17,1.5135537,2.0212557
0.925,1.0871729,1.4988358
0.549,0.80170834,1.1524798
0.445,0.477091,0.7528018
0.226,0.2523293,0.4263861
0.172,0.16376872,0.2672625
0.125,0.1134413,0.15300767
0.103,0.0985522,0.11434786
0.093,0.083634585,0.08519224
0.128,0.07066734,0.06579989
0.13,0.06892829,0.063368574
0.066,0.061579064,0.053456634
0.104,0.060382105,0.051897693
0.074,0.05111599,0.040371604
0.041,0.038951237,0.026800588
0.032,0.02905333,0.01722698
0.021,0.013587316,0.0054784836
0.012,0.002568146,0.0004446385
0.427,3.381347,2.971036
4.4,4.713755,4.360481
5.22,5.7859755,5.6401014
4.82,6.462346,6.559919
6.63,6.910269,7.2314787
6.77,7.2259064,7.731549
5.48,7.657821,8.412084
6.28,7.9738564,8.855805
7.62,8.245427,9.183265
8.69,8.734633,9.688335
9.24,9.183283,10.1117
9.52,9.599906,10.496301
6.91,9.987498,10.853253
6.43,7.125888,8.379716
4.91,5.4573617,6.6621814
3.93,4.474521,5.465133
3.27,3.885952,4.6265097
1.61,2.7628613,2.6216085
0.961,1.9331132,1.814861
0.458,1.1293843,1.1057131
0.283,0.740233,0.7550099
0.189,0.35672337,0.39659065
0.226,0.24026912,0.2785405
0.177,0.17393352,0.19847487
0.214,0.17236516,0.19621663
0.195,0.14961396,0.16150664
0.216,0.14904636,0.16062175
0.162,0.13445835,0.13818696
0.113,0.118694656,0.11503564
0.057,0.09054395,0.07723482
