MdALE errors population fit optim,MdALE errors Eleveld
0.49495363235473633,0.6613476872444153
0.12041299045085907,0.3328634798526764
0.426396906375885,0.8584666848182678
0.2278629094362259,0.4004797637462616
0.33470869064331055,0.5653020143508911
0.7666295766830444,0.7708683609962463
0.11509270966053009,0.33785316348075867
0.17079493403434753,0.32662928104400635
0.12755008041858673,0.40166130661964417
0.11684036254882812,0.3702041804790497
0.3015369772911072,0.5800148844718933
0.14767751097679138,0.3220590353012085
0.2282532900571823,0.4437369108200073
0.15507535636425018,0.4807812571525574
0.13078969717025757,0.2414208948612213
0.3166639804840088,0.1444050371646881
0.1526033580303192,0.14228542149066925
0.41979703307151794,0.5132654905319214
0.20974160730838776,0.5321283936500549
0.1725429892539978,0.32053136825561523
0.20735034346580505,0.5037916898727417
0.10328884422779083,0.5405644774436951
0.09123372286558151,0.4005693793296814
0.4990440011024475,0.6773616075515747
0.11829368770122528,0.37051647901535034
0.1330525279045105,0.22059893608093262
0.13569626212120056,0.36987584829330444
0.1677158772945404,0.3530179262161255
0.10447479784488678,0.2780267596244812
0.2642127275466919,0.461475670337677
0.44922810792922974,0.388816237449646
0.1846030354499817,0.14893418550491333
0.5721176266670227,0.45188799500465393
0.6179810166358948,0.5732517838478088
0.3652420938014984,0.8753499388694763
0.30745911598205566,0.4760880172252655
0.3509431481361389,0.3901621997356415
0.5614830255508423,0.6627676486968994
0.5454797148704529,0.5739548802375793
0.27418646216392517,0.3799891471862793
0.11926394701004028,0.29609760642051697
0.5040083527565002,0.5316550135612488
0.1911109983921051,0.14876891672611237
0.47691819071769714,0.5915029048919678
0.41035959124565125,0.5300748348236084
0.10735982656478882,0.10126654803752899
0.8317548036575317,0.9316063523292542
0.2634371519088745,0.14876089990139008
0.4755542278289795,0.49799832701683044
0.08885372430086136,0.22650285065174103
0.41835522651672363,0.5957483053207397
0.019391251727938652,0.05671184882521629
0.4814418852329254,0.7100439667701721
0.09623797982931137,0.46483173966407776
0.22218503057956696,0.37344565987586975
0.11517563462257385,0.10713932663202286
0.13219080865383148,0.20438580214977264
0.6628636717796326,0.6023145318031311
0.5998744964599609,0.6504029631614685
0.3051590919494629,0.3180449604988098
0.642948567867279,0.753808856010437
0.3471299111843109,0.45796117186546326
0.12884360551834106,0.31011316180229187
0.18027275800704956,0.23694869875907898
0.5176236629486084,0.599355161190033
0.45596635341644287,0.375126451253891
0.20484347641468048,0.322775274515152
0.3153931200504303,0.4611814320087433
0.9381549954414368,1.0378038883209229
0.33263057470321655,0.2736360728740692
0.15880419313907623,0.3277202546596527
0.5778328776359558,0.5447678565979004
0.669279932975769,0.44004109501838684
0.30779871344566345,0.2991962730884552
0.3580826222896576,0.5641622543334961
0.7548924684524536,0.6006094217300415
0.3843231499195099,0.28604570031166077
0.0339965783059597,0.25613996386528015
0.2728758752346039,0.5158422589302063
0.28593283891677856,0.15928645431995392
0.47183704376220703,0.7495551109313965
0.14042574167251587,0.24441850185394287
0.35217830538749695,0.29165276885032654
0.3173289895057678,0.3799324035644531
0.1502748727798462,0.2709760069847107
0.15971626341342926,0.0791233628988266
0.24847407639026642,0.057345569133758545
0.27379995584487915,0.12680883705615997
0.22450998425483704,0.24965977668762207
0.09591300785541534,0.43835073709487915
0.5157842636108398,0.5697168111801147
0.21705889701843262,0.20338191092014313
0.19026066362857819,0.1990976482629776
0.11252263933420181,0.0852295532822609
0.11606419086456299,0.38691645860671997
0.17788255214691162,0.17924195528030396
0.07589259743690491,0.2682037949562073
0.329418808221817,0.6524192094802856
0.35267937183380127,0.46047449111938477
0.26796644926071167,0.3368698060512543
0.3324729800224304,0.3018462061882019
0.5190816521644592,0.13575264811515808
0.3066243827342987,0.11399869620800018
0.0847509503364563,0.32230567932128906
0.1997864842414856,0.1575373411178589
0.1986740082502365,0.1597093790769577
0.09727128595113754,0.05816538259387016
0.322671115398407,0.08738374710083008
0.12922827899456024,0.4202633202075958
0.3185417652130127,0.18884116411209106
0.07249986380338669,0.11273651570081711
0.1898631751537323,0.22603031992912292
0.9178307056427002,0.8591144680976868
0.44917619228363037,0.2703477144241333
0.8346500396728516,0.6732308268547058
0.5777441263198853,0.5100792646408081
0.1532103419303894,0.2006533443927765
0.23652157187461853,0.3266978859901428
0.32615581154823303,0.26810187101364136
0.9684088230133057,0.9078415036201477
0.7783232927322388,0.731448233127594
0.725271463394165,0.6702192425727844
0.5824068784713745,0.4945451021194458
0.6926006078720093,0.6432453989982605
